Unnamed: 0,week,start_date,end_date,student_id,cars_accuracy,sciences_accuracy,class_accuracy,completed_lessons,total_completed_passages_discrete_sets,score_trends_on_completed_dailies,num_attended_large_session,num_scheduled_large_session,num_attended_small_session,num_scheduled_small_session,class_participation,homework_participation,Baseline Score,Number of Practice Exams,Most Recent Practice Exam,Actual MCAT,Score Difference,Survey Tier,Small Group Tier,Class Participation Tier,Large Group Tier
10,1,2024-06-01,2024-06-06,11,,0.55,,12.0,10.0,0.23,2.0,2.0,,,0.0,0.333333333,511.0,2.0,509.0,517.0,6.0,Tier 2,Tier 1,Tier 3,Tier 3
11,1,2024-06-01,2024-06-06,12,,,,5.0,3.0,0.22,2.0,2.0,,,0.0,0.0,498.0,1.0,498.0,491.0,-2.0,Tier 2,Tier 3,Tier 3,Tier 2
12,1,2024-06-01,2024-06-06,13,,,,4.0,2.0,0.12,2.0,2.0,,,0.0,0.0,,1.0,,,,Tier 3,Tier 1,Tier 3,Tier 3
13,1,2024-06-01,2024-06-06,14,,1.0,,1.0,4.0,0.51,2.0,2.0,,,0.0,0.0,503.0,2.0,507.0,,9.0,Tier 2,Tier 1,Tier 3,Tier 3
14,1,2024-06-01,2024-06-06,15,,1.0,,1.0,4.0,0.44,2.0,2.0,,,0.0,0.0,500.0,,,491.0,-4.0,Tier 3,Tier 3,Tier 3,Tier 3
15,1,2024-06-01,2024-06-06,16,,0.94,0.875,5.0,4.0,0.4,2.0,2.0,,,0.333333333,0.0,0.0,2.0,,,,Tier 3,Tier 3,Tier 2,Tier 2
16,1,2024-06-01,2024-06-06,17,,0.96,0.875,1.0,3.0,0.52,2.0,2.0,,,0.333333333,0.0,508.0,2.0,508.0,496.0,-12.0,Tier 2,Tier 3,Tier 3,Tier 3
17,1,2024-06-01,2024-06-06,18,,1.0,,2.0,2.0,0.51,1.0,2.0,,,0.0,0.0,495.0,2.0,503.0,,8.0,Tier 2,Tier 1,Tier 3,Tier 1
18,1,2024-06-01,2024-06-06,19,,,,4.0,5.0,0.16,2.0,2.0,,,0.0,0.0,504.0,1.0,504.0,,0.0,Tier 2,Tier 1,Tier 3,Tier 1
19,1,2024-06-01,2024-06-06,20,,0.75,,10.0,8.0,0.22,2.0,2.0,,,0.0,0.0,497.0,3.0,499.0,,7.0,Tier 1,Tier 1,Tier 3,Tier 2
20,1,2024-06-01,2024-06-06,21,,,,1.0,3.0,0.0,0.0,2.0,,,0.0,0.0,,,,,,,,,
21,1,2024-06-01,2024-06-06,22,,1.0,1.0,9.0,5.0,0.82,2.0,2.0,,,0.333333333,0.333333333,484.0,,,508.0,29.0,Tier 3,Tier 2,Tier 1,Tier 1
22,1,2024-06-01,2024-06-06,23,,,,1.0,4.0,0.16,2.0,2.0,,,0.0,0.0,493.0,4.0,496.0,,8.0,Tier 2,Tier 2,Tier 3,Tier 2
23,1,2024-06-01,2024-06-06,24,1.0,1.0,1.0,8.0,7.0,0.47,2.0,2.0,,,0.333333333,0.0,491.0,3.0,484.0,493.0,7.0,Tier 3,Tier 3,Tier 3,Tier 3
24,1,2024-06-01,2024-06-06,25,,,,1.0,3.0,0.23,2.0,2.0,,,0.0,0.0,491.0,1.0,491.0,484.0,-2.0,Tier 2,Tier 3,Tier 3,Tier 3
25,1,2024-06-01,2024-06-06,26,,1.0,,1.0,3.0,0.44,2.0,2.0,,,0.0,0.0,496.0,5.0,497.0,494.0,3.0,Tier 2,Tier 3,Tier 3,Tier 2
26,1,2024-06-01,2024-06-06,27,,0.8,0.875,9.0,5.0,0.58,2.0,2.0,,,0.333333333,0.333333333,500.0,2.0,507.0,487.0,-8.0,Tier 2,Tier 3,Tier 3,Tier 1
27,1,2024-06-01,2024-06-06,28,,1.0,,1.0,4.0,0.47,2.0,2.0,,,0.0,0.0,0.0,,,485.0,,Tier 3,Tier 3,Tier 3,Tier 2
28,1,2024-06-01,2024-06-06,29,,0.8,0.875,9.0,6.0,0.5,2.0,2.0,,,0.333333333,0.0,505.0,1.0,505.0,515.0,15.0,Tier 1,Tier 1,Tier 1,Tier 1
29,1,2024-06-01,2024-06-06,30,,0.96,0.875,9.0,4.0,0.59,2.0,2.0,,,0.333333333,0.0,0.0,1.0,498.0,502.0,4.0,Tier 2,Tier 3,Tier 3,Tier 1
30,1,2024-06-01,2024-06-06,31,,0.88,,9.0,7.0,0.57,2.0,2.0,,,0.0,0.333333333,506.0,3.0,506.0,,0.0,Tier 1,Tier 1,Tier 1,Tier 1
31,1,2024-06-01,2024-06-06,32,,0.95,,5.0,6.0,0.6,2.0,2.0,,,0.0,0.0,0.0,,,508.0,,Tier 1,Tier 2,Tier 3,Tier 1
32,1,2024-06-01,2024-06-06,33,,0.79,0.875,7.0,3.0,0.48,2.0,2.0,,,0.333333333,0.0,490.0,1.0,490.0,,0.0,Tier 3,Tier 3,Tier 3,Tier 1
33,1,2024-06-01,2024-06-06,34,,1.0,1.0,4.0,2.0,0.45,2.0,2.0,,,0.333333333,0.0,,1.0,,490.0,,Tier 3,Tier 3,Tier 3,Tier 3
34,1,2024-06-01,2024-06-06,35,0.83,0.67,0.875,12.0,15.0,0.56,2.0,2.0,,,0.333333333,0.333333333,506.0,3.0,518.0,525.0,24.0,,,,
35,1,2024-06-01,2024-06-06,36,,0.94,0.875,8.0,5.0,0.29,2.0,2.0,,,0.333333333,0.0,495.0,4.0,501.0,,6.0,Tier 2,Tier 1,Tier 3,Tier 1
36,1,2024-06-01,2024-06-06,37,,0.98,0.875,10.0,5.0,0.78,2.0,2.0,,,0.333333333,0.333333333,496.0,,,494.0,3.0,Tier 3,Tier 3,Tier 3,Tier 3
37,1,2024-06-01,2024-06-06,38,,1.0,1.0,1.0,4.0,0.4,2.0,2.0,,,0.333333333,0.0,,,,,,,,,
38,1,2024-06-01,2024-06-06,39,,,,7.0,3.0,0.23,2.0,2.0,,,0.0,0.0,498.0,12.0,511.0,504.0,11.0,Tier 1,Tier 1,Tier 1,Tier 1
39,1,2024-06-01,2024-06-06,40,,,,4.0,4.0,0.15,2.0,2.0,,,0.0,0.333333333,,,,,,,,,
40,1,2024-06-01,2024-06-06,41,,1.0,0.875,1.0,3.0,0.48,2.0,2.0,,,0.333333333,0.0,494.0,2.0,497.0,502.0,13.0,Tier 1,Tier 1,Tier 3,Tier 3
41,1,2024-06-01,2024-06-06,42,,,,1.0,0.0,0.27,0.0,2.0,,,0.0,0.0,,,,,,,,,
42,1,2024-06-01,2024-06-06,43,,0.92,0.75,3.0,3.0,0.29,2.0,2.0,,,0.333333333,0.0,494.0,4.0,494.0,489.0,5.0,Tier 2,Tier 3,Tier 3,Tier 1
43,1,2024-06-01,2024-06-06,44,,0.0,,1.0,5.0,0.16,2.0,2.0,,,0.0,0.0,,1.0,500.0,,,Tier 2,Tier 3,Tier 1,Tier 1
44,1,2024-06-01,2024-06-06,45,,1.0,0.9375,9.0,4.0,0.38,2.0,2.0,,,0.333333333,0.0,,,,,,,,,
45,1,2024-06-01,2024-06-06,46,,0.5,0.625,8.0,3.0,0.34,2.0,2.0,,,0.333333333,0.0,493.0,4.0,494.0,495.0,7.0,Tier 2,Tier 3,Tier 3,Tier 3
46,1,2024-06-01,2024-06-06,47,,0.75,,25.0,2.0,0.53,1.0,2.0,,,0.0,0.0,494.0,1.0,494.0,493.0,-1.0,Tier 2,Tier 3,Tier 3,Tier 3
47,1,2024-06-01,2024-06-06,48,,,,9.0,7.0,0.2,2.0,2.0,,,0.0,0.0,495.0,2.0,490.0,488.0,-2.0,Tier 3,Tier 3,Tier 3,Tier 2
48,1,2024-06-01,2024-06-06,49,,0.67,1.0,9.0,3.0,0.28,2.0,2.0,,,0.333333333,0.0,503.0,6.0,516.0,,13.0,Tier 1,Tier 2,Tier 1,Tier 1
49,1,2024-06-01,2024-06-06,50,,0.75,,1.0,3.0,0.22,2.0,2.0,,,0.0,0.0,505.0,,,,,Tier 3,Tier 3,Tier 3,Tier 1
50,1,2024-06-01,2024-06-06,51,,0.88,0.75,2.0,7.0,0.25,2.0,2.0,,,0.333333333,0.0,501.0,2.0,501.0,495.0,-6.0,Tier 2,Tier 3,Tier 3,Tier 3
51,1,2024-06-01,2024-06-06,52,,0.58,0.75,5.0,6.0,0.32,2.0,2.0,,,0.333333333,0.0,497.0,5.0,502.0,501.0,9.0,Tier 2,Tier 3,Tier 3,Tier 3
52,1,2024-06-01,2024-06-06,53,,0.22,,4.0,3.0,0.24,2.0,2.0,,,0.0,0.0,491.0,3.0,492.0,490.0,4.0,Tier 3,Tier 3,Tier 3,Tier 3
53,1,2024-06-01,2024-06-06,54,,0.58,,6.0,6.0,0.39,0.0,2.0,,,0.0,0.333333333,,,,,,,,,
54,1,2024-06-01,2024-06-06,55,0.83,0.33,,10.0,5.0,0.3,2.0,2.0,,,0.0,0.333333333,497.0,,,,0.0,Tier 3,Tier 3,Tier 3,Tier 3
55,1,2024-06-01,2024-06-06,56,,,,1.0,3.0,0.27,2.0,2.0,,,0.0,0.0,510.0,,,,,Tier 3,Tier 3,Tier 3,Tier 1
56,1,2024-06-01,2024-06-06,57,,1.0,,5.0,3.0,0.45,2.0,2.0,,,0.0,0.0,497.0,3.0,497.0,,0.0,Tier 2,Tier 1,Tier 1,Tier 1
57,1,2024-06-01,2024-06-06,58,,0.59,0.4375,18.0,5.0,0.47,2.0,2.0,,,0.333333333,0.0,495.0,1.0,495.0,494.0,4.0,Tier 3,Tier 3,Tier 3,Tier 3
58,1,2024-06-01,2024-06-06,59,,0.96,0.875,4.0,3.0,0.64,2.0,2.0,,,0.333333333,0.0,497.0,4.0,496.0,493.0,1.0,Tier 2,Tier 3,Tier 3,Tier 2
59,1,2024-06-01,2024-06-06,60,0.33,0.31,1.0,11.0,6.0,0.22,2.0,2.0,,,0.333333333,0.0,498.0,3.0,500.0,510.0,17.0,Tier 1,Tier 3,Tier 1,Tier 1
60,1,2024-06-01,2024-06-06,61,,1.0,,6.0,3.0,0.39,2.0,2.0,,,0.0,0.0,496.0,3.0,494.0,492.0,1.0,Tier 2,Tier 3,Tier 3,Tier 1
61,1,2024-06-01,2024-06-06,62,,0.88,0.875,5.0,3.0,0.24,2.0,2.0,,,0.333333333,0.0,494.0,1.0,494.0,,5.0,Tier 2,Tier 3,Tier 3,Tier 1
62,1,2024-06-01,2024-06-06,63,,1.0,1.0,1.0,4.0,0.46,2.0,2.0,,,0.333333333,0.0,,1.0,487.0,,,Tier 2,Tier 1,Tier 3,Tier 3
63,1,2024-06-01,2024-06-06,64,,0.73,1.0,10.0,5.0,0.44,2.0,2.0,,,0.333333333,0.333333333,493.0,4.0,502.0,,9.0,Tier 2,Tier 1,Tier 3,Tier 3
64,1,2024-06-01,2024-06-06,65,,,,7.0,4.0,0.1,2.0,2.0,,,0.0,0.0,493.0,5.0,518.0,491.0,-2.0,Tier 2,Tier 3,Tier 3,Tier 2
65,1,2024-06-01,2024-06-06,66,,0.34,0.875,10.0,5.0,0.39,0.0,2.0,,,0.333333333,0.0,489.0,1.0,489.0,506.0,22.0,Tier 2,Tier 1,Tier 1,Tier 3
66,1,2024-06-01,2024-06-06,67,,,,1.0,3.0,0.29,2.0,2.0,,,,,494.0,,,481.0,-8.0,Tier 3,Tier 3,Tier 3,Tier 2
67,1,2024-06-01,2024-06-06,68,,1.0,,1.0,4.0,0.48,2.0,2.0,,,0.0,0.0,493.0,,,498.0,10.0,Tier 3,Tier 3,Tier 3,Tier 3
68,1,2024-06-01,2024-06-06,69,,,,2.0,4.0,0.14,2.0,2.0,,,0.0,0.0,495.0,2.0,497.0,,7.0,Tier 2,Tier 1,Tier 3,Tier 1
69,1,2024-06-01,2024-06-06,70,,0.94,,5.0,3.0,0.69,2.0,2.0,,,0.0,0.0,487.0,1.0,487.0,481.0,-6.0,Tier 3,Tier 3,Tier 3,Tier 3
70,1,2024-06-01,2024-06-06,71,,,,6.0,3.0,0.3,2.0,2.0,,,0.0,0.0,501.0,9.0,504.0,,8.0,Tier 2,Tier 1,Tier 1,Tier 1
71,1,2024-06-01,2024-06-06,72,,0.5,,4.0,6.0,0.21,2.0,2.0,,,0.0,0.0,0.0,1.0,409.0,,,Tier 2,Tier 3,Tier 3,Tier 1
72,1,2024-06-01,2024-06-06,73,,0.98,1.0,10.0,10.0,0.7,2.0,2.0,,,0.333333333,0.333333333,503.0,3.0,502.0,498.0,0.0,Tier 1,Tier 3,Tier 3,Tier 2
73,1,2024-06-01,2024-06-06,74,0.43,0.84,0.875,10.0,7.0,0.41,2.0,2.0,,,0.333333333,0.0,501.0,1.0,501.0,,5.0,Tier 1,Tier 1,Tier 3,Tier 1
74,1,2024-06-01,2024-06-06,75,,0.79,0.875,1.0,3.0,0.54,2.0,2.0,,,0.333333333,0.0,495.0,1.0,495.0,497.0,5.0,Tier 3,Tier 3,Tier 3,Tier 3
75,1,2024-06-01,2024-06-06,76,,0.83,1.0,1.0,4.0,0.56,2.0,2.0,,,0.333333333,0.0,497.0,,,495.0,3.0,Tier 3,Tier 3,Tier 3,Tier 3
76,1,2024-06-01,2024-06-06,77,,0.96,0.875,7.0,3.0,0.71,2.0,2.0,,,0.333333333,0.0,491.0,5.0,494.0,493.0,7.0,Tier 2,Tier 3,Tier 3,Tier 1
77,1,2024-06-01,2024-06-06,78,,0.83,,10.0,7.0,0.53,2.0,2.0,,,0.0,0.0,499.0,4.0,493.0,,-1.0,Tier 2,Tier 2,Tier 1,Tier 1
78,1,2024-06-01,2024-06-06,79,,,,1.0,4.0,0.27,2.0,2.0,,,0.0,0.0,504.0,7.0,519.0,,20.0,Tier 2,Tier 2,Tier 3,Tier 1
79,1,2024-06-01,2024-06-06,80,,,,1.0,3.0,0.17,2.0,2.0,,,0.0,0.0,491.0,,,496.0,5.0,Tier 3,Tier 3,Tier 3,Tier 3
80,1,2024-06-01,2024-06-06,81,,,,4.0,3.0,0.18,2.0,2.0,,,0.0,0.0,498.0,1.0,498.0,495.0,2.0,Tier 3,Tier 3,Tier 3,Tier 3
81,1,2024-06-01,2024-06-06,82,,0.46,0.375,2.0,4.0,0.35,2.0,2.0,,,0.333333333,0.0,495.0,1.0,497.0,,7.0,Tier 2,Tier 2,Tier 3,Tier 3
82,1,2024-06-01,2024-06-06,83,,0.63,0.875,6.0,3.0,0.52,2.0,2.0,,,0.333333333,0.0,506.0,6.0,517.0,518.0,17.0,Tier 2,Tier 1,Tier 3,Tier 3
83,1,2024-06-01,2024-06-06,84,,1.0,1.0,1.0,4.0,0.67,2.0,2.0,,,0.333333333,0.0,499.0,,,491.0,-3.0,Tier 3,Tier 3,Tier 3,Tier 3
84,1,2024-06-01,2024-06-06,85,0.33,0.54,0.625,1.0,5.0,0.47,2.0,2.0,,,0.333333333,0.0,504.0,7.0,506.0,509.0,10.0,Tier 1,Tier 1,Tier 1,Tier 2
85,1,2024-06-01,2024-06-06,86,,,,1.0,2.0,0.19,2.0,2.0,,,0.0,0.0,490.0,2.0,490.0,,0.0,Tier 2,Tier 1,Tier 3,Tier 3
86,1,2024-06-01,2024-06-06,87,,0.47,0.875,4.0,4.0,0.46,2.0,2.0,,,0.333333333,0.0,491.0,6.0,494.0,497.0,11.0,Tier 2,Tier 3,Tier 3,Tier 1
87,1,2024-06-01,2024-06-06,88,,0.5,,2.0,3.0,0.3,2.0,2.0,,,0.0,0.0,496.0,1.0,496.0,501.0,5.0,Tier 3,Tier 3,Tier 3,Tier 2
88,1,2024-06-01,2024-06-06,89,,0.84,0.9375,10.0,6.0,0.39,2.0,2.0,,,0.333333333,0.333333333,493.0,2.0,493.0,497.0,4.0,Tier 2,Tier 3,Tier 3,Tier 2
89,1,2024-06-01,2024-06-06,90,,1.0,,8.0,5.0,0.24,2.0,2.0,,,0.0,0.0,499.0,6.0,495.0,504.0,10.0,Tier 1,Tier 3,Tier 3,Tier 1
90,1,2024-06-01,2024-06-06,91,,,,8.0,3.0,0.15,2.0,2.0,,,0.0,0.0,495.0,5.0,496.0,492.0,2.0,Tier 1,Tier 3,Tier 3,Tier 1
91,1,2024-06-01,2024-06-06,92,,,,1.0,4.0,0.19,1.0,2.0,,,0.0,0.0,502.0,2.0,506.0,,9.0,Tier 3,Tier 1,Tier 3,Tier 1
92,1,2024-06-01,2024-06-06,93,,0.5,0.75,16.0,6.0,0.44,2.0,2.0,,,0.333333333,0.333333333,497.0,4.0,497.0,496.0,4.0,Tier 1,Tier 1,Tier 3,Tier 1
93,1,2024-06-01,2024-06-06,94,0.6,,,4.0,9.0,0.18,2.0,2.0,,,0.0,0.0,503.0,2.0,503.0,,0.0,Tier 2,Tier 1,Tier 3,Tier 3
94,1,2024-06-01,2024-06-06,95,,0.75,,1.0,2.0,0.55,0.0,2.0,,,0.0,0.0,498.0,1.0,498.0,493.0,0.0,Tier 2,Tier 3,Tier 3,Tier 1
95,1,2024-06-01,2024-06-06,96,,0.94,0.875,1.0,5.0,0.23,2.0,2.0,,,0.333333333,0.0,0.0,,,,,Tier 3,Tier 3,Tier 3,Tier 1
96,1,2024-06-01,2024-06-06,97,,,,1.0,3.0,0.15,2.0,2.0,,,0.0,0.0,494.0,,,495.0,6.0,Tier 3,Tier 3,Tier 3,Tier 3
97,1,2024-06-01,2024-06-06,98,,0.63,0.875,6.0,3.0,0.52,2.0,2.0,,,0.333333333,0.0,,,,,0.0,Tier 3,Tier 1,Tier 3,Tier 1
98,1,2024-06-01,2024-06-06,99,,,,1.0,6.0,0.2,2.0,2.0,,,0.0,0.0,502.0,1.0,500.0,,3.0,Tier 2,Tier 1,Tier 3,Tier 1
99,1,2024-06-01,2024-06-06,100,,0.67,1.0,2.0,3.0,0.34,2.0,2.0,,,0.333333333,0.0,497.0,1.0,497.0,501.0,9.0,Tier 2,Tier 3,Tier 3,Tier 3
100,1,2024-06-01,2024-06-06,101,,1.0,1.0,9.0,3.0,0.72,2.0,2.0,,,0.333333333,0.0,500.0,6.0,502.0,495.0,0.0,Tier 1,Tier 3,Tier 3,Tier 3
101,1,2024-06-01,2024-06-06,102,,0.5,,3.0,6.0,0.26,2.0,2.0,,,0.0,0.0,501.0,1.0,501.0,496.0,0.0,Tier 2,Tier 3,Tier 3,Tier 2
102,1,2024-06-01,2024-06-06,103,,0.84,0.875,9.0,6.0,0.3,2.0,2.0,,,0.333333333,0.333333333,493.0,,,483.0,-5.0,Tier 3,Tier 3,Tier 3,Tier 3
103,1,2024-06-01,2024-06-06,104,,0.72,0.875,8.0,5.0,0.57,2.0,2.0,,,0.333333333,0.0,494.0,,,,0.0,Tier 3,Tier 1,Tier 2,Tier 2
104,1,2024-06-01,2024-06-06,105,0.58,0.33,,7.0,7.0,0.24,2.0,2.0,,,0.0,0.0,485.0,2.0,485.0,485.0,0.0,Tier 2,Tier 3,Tier 3,Tier 1
105,1,2024-06-01,2024-06-06,106,,0.64,0.875,5.0,4.0,0.47,2.0,2.0,,,0.333333333,0.0,491.0,5.0,494.0,482.0,-4.0,Tier 2,Tier 3,Tier 3,Tier 1
106,1,2024-06-01,2024-06-06,107,,0.5,,2.0,7.0,0.19,2.0,2.0,,,0.0,0.0,505.0,,,,,Tier 2,Tier 2,Tier 3,Tier 1
107,1,2024-06-01,2024-06-06,108,,0.96,0.875,8.0,3.0,0.63,2.0,2.0,,,0.333333333,0.0,497.0,6.0,499.0,502.0,10.0,Tier 2,Tier 2,Tier 1,Tier 1
108,1,2024-06-01,2024-06-06,109,,,,2.0,2.0,0.2,2.0,2.0,,,0.0,0.0,,,,,,,,,
109,1,2024-06-01,2024-06-06,110,,0.47,0.875,2.0,5.0,0.46,2.0,2.0,,,0.333333333,0.0,506.0,2.0,511.0,,10.0,Tier 2,Tier 1,Tier 2,Tier 1
110,1,2024-06-01,2024-06-06,111,,0.96,,1.0,3.0,0.62,2.0,2.0,,,,,498.0,6.0,517.0,496.0,-2.0,Tier 2,Tier 1,Tier 1,Tier 1
111,1,2024-06-01,2024-06-06,112,,0.38,0.5,7.0,6.0,0.24,2.0,2.0,,,0.333333333,0.0,490.0,3.0,491.0,478.0,-7.0,Tier 3,Tier 3,Tier 3,Tier 3
112,1,2024-06-01,2024-06-06,113,,0.94,0.875,9.0,6.0,0.52,2.0,2.0,,,0.333333333,0.0,492.0,3.0,492.0,495.0,8.0,Tier 2,Tier 3,Tier 3,Tier 1
113,1,2024-06-01,2024-06-06,114,,1.0,1.0,1.0,4.0,0.59,2.0,2.0,,,0.333333333,0.0,492.0,4.0,485.0,486.0,-1.0,Tier 3,Tier 3,Tier 3,Tier 2
114,1,2024-06-01,2024-06-06,115,,0.52,0.875,8.0,5.0,0.46,2.0,2.0,,,0.333333333,0.333333333,487.0,4.0,496.0,487.0,5.0,Tier 2,Tier 3,Tier 3,Tier 3
115,1,2024-06-01,2024-06-06,116,,,,4.0,5.0,0.27,2.0,2.0,,,0.0,0.0,503.0,1.0,503.0,506.0,8.0,Tier 2,Tier 3,Tier 3,Tier 3
116,1,2024-06-01,2024-06-06,117,,0.41,0.625,11.0,5.0,0.37,2.0,2.0,,,0.333333333,0.0,493.0,2.0,493.0,494.0,6.0,Tier 2,Tier 3,Tier 3,Tier 3
117,1,2024-06-01,2024-06-06,118,,0.94,0.875,9.0,4.0,0.46,2.0,2.0,,,0.333333333,0.0,488.0,1.0,488.0,480.0,-3.0,Tier 2,Tier 3,Tier 3,Tier 3
118,1,2024-06-01,2024-06-06,119,,0.68,0.875,9.0,5.0,0.49,2.0,2.0,,,0.333333333,0.0,,,,,,,,,
119,1,2024-06-01,2024-06-06,120,,0.5,,9.0,4.0,0.3,2.0,2.0,,,0.0,0.0,497.0,5.0,506.0,,14.0,Tier 2,Tier 2,Tier 1,Tier 1
120,1,2024-06-01,2024-06-06,121,1.0,0.97,0.875,10.0,5.0,0.76,2.0,2.0,,,0.333333333,0.0,503.0,5.0,509.0,510.0,7.0,Tier 2,Tier 1,Tier 3,Tier 1
121,1,2024-06-01,2024-06-06,122,,0.63,0.375,18.0,3.0,0.53,0.0,2.0,,,0.333333333,0.0,494.0,6.0,509.0,509.0,20.0,Tier 3,Tier 1,Tier 3,Tier 3
122,1,2024-06-01,2024-06-06,123,,0.79,0.875,9.0,3.0,0.63,2.0,2.0,,,0.333333333,0.0,498.0,1.0,500.0,495.0,2.0,Tier 3,Tier 3,Tier 3,Tier 3
123,1,2024-06-01,2024-06-06,124,,0.48,0.59375,3.0,11.0,0.27,2.0,2.0,,,0.666666667,0.0,502.0,5.0,500.0,496.0,-6.0,Tier 1,Tier 3,Tier 3,Tier 2
124,1,2024-06-01,2024-06-06,125,,0.63,0.875,6.0,4.0,0.45,2.0,2.0,,,0.333333333,0.0,494.0,5.0,500.0,505.0,16.0,Tier 2,Tier 3,Tier 3,Tier 3
125,1,2024-06-01,2024-06-06,126,,0.45,,6.0,7.0,0.25,2.0,2.0,,,0.0,0.0,495.0,,,501.0,11.0,Tier 3,Tier 3,Tier 3,Tier 3
126,1,2024-06-01,2024-06-06,127,,1.0,,1.0,4.0,0.5,2.0,2.0,,,0.0,0.0,500.0,2.0,501.0,508.0,13.0,Tier 2,Tier 3,Tier 3,Tier 1
127,1,2024-06-01,2024-06-06,128,,1.0,,8.0,4.0,0.31,2.0,2.0,,,0.0,0.0,490.0,,,,,Tier 3,Tier 3,Tier 3,Tier 2
128,1,2024-06-01,2024-06-06,129,0.63,0.0,0.875,2.0,7.0,0.13,2.0,2.0,,,0.333333333,0.0,501.0,2.0,499.0,,3.0,Tier 2,Tier 1,Tier 2,Tier 3
129,1,2024-06-01,2024-06-06,130,0.83,0.57,1.0,11.0,10.0,0.41,2.0,2.0,,,0.333333333,0.333333333,500.0,3.0,513.0,,13.0,Tier 3,Tier 3,Tier 3,Tier 3
130,1,2024-06-01,2024-06-06,131,,0.51,,4.0,5.0,0.23,2.0,2.0,,,0.0,0.333333333,493.0,10.0,497.0,506.0,13.0,Tier 2,Tier 3,Tier 1,Tier 1
131,1,2024-06-01,2024-06-06,132,,0.5,,1.0,4.0,0.37,2.0,2.0,,,0.0,0.0,498.0,2.0,498.0,490.0,-8.0,Tier 2,Tier 3,Tier 3,Tier 3
132,1,2024-06-01,2024-06-06,133,,0.88,0.875,8.0,3.0,0.35,2.0,2.0,,,0.333333333,0.0,486.0,3.0,501.0,501.0,0.0,Tier 2,Tier 3,Tier 3,Tier 3
133,1,2024-06-01,2024-06-06,134,,,,1.0,5.0,0.13,2.0,2.0,,,0.0,0.0,,,,487.0,,Tier 3,Tier 3,Tier 3,Tier 3
134,1,2024-06-01,2024-06-06,135,,0.97,1.0,10.0,6.0,0.88,2.0,2.0,,,0.333333333,0.333333333,505.0,5.0,513.0,,13.0,Tier 1,Tier 1,Tier 1,Tier 1
135,1,2024-06-01,2024-06-06,136,,0.58,0.75,7.0,3.0,0.4,2.0,2.0,,,0.333333333,0.0,498.0,5.0,499.0,,6.0,Tier 2,Tier 1,Tier 3,Tier 2
136,1,2024-06-01,2024-06-06,137,,0.79,0.875,1.0,3.0,0.54,2.0,2.0,,,0.333333333,0.0,,1.0,503.0,506.0,3.0,Tier 2,Tier 1,Tier 3,Tier 3
137,1,2024-06-01,2024-06-06,138,,1.0,,2.0,4.0,0.55,2.0,2.0,,,0.0,0.0,491.0,2.0,489.0,492.0,3.0,Tier 3,Tier 3,Tier 3,Tier 1
