student_id,Survey Tier,Large Group Tier,Small Group Tier,Class Participation Tier,Final Tier
140,Tier 3,Tier 1,Tier 3,Tier 2,
141,Tier 2,Tier 1,Tier 3,Tier 3,
142,Tier 1,Tier 1,Tier 3,Tier 3,
143,Tier 2,Tier 1,Tier 2,Tier 2,
144,Tier 1,Tier 2,Tier 3,Tier 3,
145,Tier 3,Tier 1,Tier 2,Tier 3,
146,Tier 3,Tier 1,Tier 3,Tier 2,
147,Tier 2,Tier 1,Tier 1,Tier 3,
148,Tier 1,Tier 1,Tier 1,Tier 2,
149,Tier 2,Tier 1,Tier 1,Tier 2,
150,Tier 3,Tier 2,Tier 3,Tier 3,
